concurrency,prompt_size,response_size,successful_requests,failed_requests,avg_latency,avg_ttft,throughput,total_execution_time,error_status_codes
3,64,64,3,0,2.9989640712738037,2.9989918073018393,22.182927002798163,7.573391914367676,{}
4,64,64,4,0,2.231702208518982,2.2317339181900024,31.347861713591513,5.9653191566467285,{}
5,64,64,5,0,2.2835387229919433,2.283560037612915,22.931850480087213,12.079269409179688,{}
6,64,64,6,0,2.262413581212362,2.2624382972717285,23.789817503450262,13.325028657913208,{}
7,64,64,7,0,2.8887202739715576,2.8887454782213484,14.45093308255651,26.157480478286743,{}
8,64,64,8,0,2.3662158846855164,2.366251140832901,17.085097196729123,26.338743925094604,{}
9,64,64,9,0,2.301370620727539,2.301409880320231,19.267096896452408,25.8471736907959,{}
10,64,64,10,0,2.3274674654006957,2.327500820159912,23.697057994845245,22.28124690055847,{}
1,1024,1024,1,0,2.0748298168182373,2.074861526489258,25.533170201446133,2.0757312774658203,{}
2,1024,1024,2,0,13.720112800598145,13.720139622688293,42.595665439685774,17.04398775100708,{}
3,1024,1024,3,0,3.336188236872355,3.336224317550659,50.72810466735782,7.017806053161621,{}
4,1024,1024,4,0,2.446569502353668,2.4466055631637573,33.66758012416053,6.385965347290039,{}
5,1024,1024,5,0,5.989426565170288,5.9894650936126705,31.10630250451825,26.650547742843628,{}
6,1024,1024,6,0,7.557980855305989,7.558020353317261,42.889763323613984,28.445015907287598,{}
7,1024,1024,3,4,147.95150899887085,147.95153578122458,0.6144848702513596,497.9780867099762,"{""Unknown"": 4}"
6,1024,1024,6,0,2.6697351535161338,2.669755776723226,19.26053632266713,13.810622692108154,{}
7,1024,1024,7,0,3.948861735207694,3.9488802637372697,27.92615421448476,24.09927248954773,{}
8,1024,1024,8,0,4.615249216556549,4.6152699291706085,25.929208979495062,36.32968521118164,{}
9,1024,1024,9,0,3.38677806324429,3.3867987526787653,22.79326102701063,28.9559268951416,{}
10,1024,1024,10,0,3.2524595737457274,3.2524972438812254,24.12494898348238,27.854981184005737,{}
1,64,1024,1,0,4.586746454238892,4.586772203445435,51.22653768390134,4.58746600151062,{}
2,64,1024,2,0,3.030647397041321,3.0306708812713623,49.84097319426187,4.072954177856445,{}
3,64,1024,3,0,2.818681001663208,2.8187050024668374,46.26120405845569,5.793191194534302,{}
4,64,1024,4,0,3.8626548051834106,3.862678647041321,33.962652044017155,11.60097861289978,{}
5,64,1024,5,0,3.7029401302337646,3.702964448928833,41.22995276210825,14.140205383300781,{}
6,64,1024,6,0,5.399103403091431,5.399129271507263,34.52620531418127,28.55801820755005,{}
7,64,1024,7,0,2.5836990560804094,2.5837364537375316,40.556907765039476,13.511878252029419,{}
8,64,1024,8,0,3.6556188762187958,3.655645728111267,26.554937101821984,27.11360216140747,{}
9,64,1024,9,0,5.118607653511895,5.118651496039496,44.99859061735409,28.97868537902832,{}
10,64,1024,10,0,3.3910096406936647,3.3910366773605345,24.694427500402682,39.361106872558594,{}
1,128,128,1,0,2.723120927810669,2.7231366634368896,37.452113061487545,2.723477840423584,{}
2,128,128,2,0,3.7444361448287964,3.74445903301239,47.17874931704044,4.620724439620972,{}
3,128,128,3,0,2.6282571156819663,2.628279129664103,37.74120184486425,5.53771448135376,{}
4,128,128,4,0,4.013774812221527,4.01380729675293,32.32465126674285,8.847736597061157,{}
5,128,128,5,0,3.2829566478729246,3.2829955577850343,39.046498056029236,12.651582717895508,{}
6,128,128,6,0,3.0392527977625527,3.039312720298767,39.26869750983179,13.038374900817871,{}
7,128,128,7,0,3.51807131086077,3.5181188923971995,19.97688244367043,27.581881284713745,{}
8,128,128,8,0,3.27741077542305,3.2774405479431152,24.626085751271372,28.10028386116028,{}
9,128,128,9,0,4.1694554222954645,4.169497940275404,32.130583494665025,29.504599571228027,{}
10,128,128,10,0,3.404403734207153,3.404435920715332,25.89079072614337,38.31478190422058,{}
1,1024,128,1,0,1.8040153980255127,1.8040270805358887,20.504439941611146,1.8044872283935547,{}
2,1024,128,2,0,2.2879070043563843,2.28792941570282,31.796105913921664,2.7990849018096924,{}
3,1024,128,3,0,2.437714099884033,2.4377315839131675,35.912980345709364,5.51332688331604,{}
4,1024,128,4,0,3.3046109676361084,3.3047012090682983,30.717061511573576,8.33413052558899,{}
