concurrency,prompt_size,response_size,successful_requests,failed_requests,avg_latency,avg_ttft,throughput,total_execution_time,error_status_codes
4,128,128,4,0,3.477985978126526,3.4780256152153015,17.909232383358454,7.482174396514893,{}
5,128,128,5,0,11.384256076812743,11.384276199340821,9.421265714983987,34.07185506820679,{}
6,128,128,6,0,4.793567697207133,4.7935993274052935,13.115627842944802,28.515600204467773,{}
7,128,128,7,0,2.5082506452287947,2.5082863739558627,13.404400947215,12.757004261016846,{}
8,128,128,8,0,4.176832884550095,4.1768598556518555,10.422490827777699,34.92447304725647,{}
9,128,128,9,0,11.68744691212972,11.687467787000868,7.556414980578863,58.75802230834961,{}
10,128,128,10,0,11.226686215400695,11.226711082458497,6.56836412006159,65.16082119941711,{}
1,64,2048,1,0,1.5917351245880127,1.5917556285858154,5.652823548879094,1.5921247005462646,{}
2,64,2048,2,0,4.064985275268555,4.065003991127014,19.579202922615806,5.005311012268066,{}
3,64,2048,3,0,2.2416256268819175,2.241642872492472,10.831225110555616,4.708608627319336,{}
4,64,2048,4,0,3.4372817873954773,3.4373022317886353,15.724723725895549,9.475524187088013,{}
5,64,2048,5,0,3.008762979507446,3.00878849029541,13.10683012922552,15.106627464294434,{}
6,64,2048,6,0,2.328836679458618,2.3288620710372925,10.181588166598392,13.65209412574768,{}
7,64,2048,7,0,13.92341252735683,13.923434802464076,2.5291309516938068,51.401055335998535,{}
8,64,2048,8,0,3.09525066614151,3.095273643732071,14.439503081946691,14.543436765670776,{}
9,64,2048,9,0,3.5219643910725913,3.5219960742526584,13.915429836473434,26.301738739013672,{}
10,64,2048,10,0,12.96604859828949,12.966070413589478,7.16360379063776,51.92917013168335,{}
1,4096,4096,1,0,2.035067558288574,2.0351169109344482,0.9824701289474711,2.0356853008270264,{}
2,4096,4096,2,0,2.3550546169281006,2.3550678491592407,0.36036217468050674,2.7749860286712646,{}
3,4096,4096,3,0,2.4591828982035318,2.459200700124105,2.7624860941672957,5.429891586303711,{}
4,4096,4096,4,0,3.0746700763702393,3.074684977531433,0.475854462168001,8.40593147277832,{}
5,4096,4096,5,0,2.5132026195526125,2.513219404220581,1.5138014288397972,13.211772441864014,{}
6,4096,4096,6,0,2.5799328088760376,2.5799553394317627,0.7185366377958305,13.917174816131592,{}
7,4096,4096,7,0,5.996421779905047,5.996437243052891,0.8804697115274721,30.66545009613037,{}
8,4096,4096,8,0,2.4603427946567535,2.4603577256202698,1.3332090611382823,27.002516746520996,{}
9,4096,4096,9,0,2.4345751073625355,2.434595505396525,1.0330621423238942,26.135891437530518,{}
10,4096,4096,10,0,4.703096175193787,4.703117752075196,0.888020683750503,33.78299689292908,{}
1,4096,1024,1,0,2.1384048461914062,2.138417959213257,0.46751939858668673,2.138948678970337,{}
2,4096,1024,2,0,2.8042092323303223,2.804222822189331,3.741930485936177,3.2069008350372314,{}
3,4096,1024,3,0,2.410029411315918,2.410057862599691,2.18603196071265,5.489398241043091,{}
4,4096,1024,4,0,2.2074756622314453,2.207494020462036,0.6616387971130094,6.045594692230225,{}
5,4096,1024,5,0,2.7749188899993897,2.7749353885650634,0.3152240971160153,15.86173152923584,{}
6,4096,1024,6,0,2.4104706843694053,2.4104905128479004,0.16138772611017205,12.392516136169434,{}
7,4096,1024,4,3,8.259810447692871,8.259835064411163,0.3560889348845286,64.59060573577881,"{""Unknown"": 3}"
